,MatchID,OpponentID,Outcome,OwnScore,OpponentScore,Side,CoachID,ground_truth,ground_truth_offense,ground_truth_defense,shotsAllowedVal,shotsTakenVal,flowEV,tempoEV,complete_triad_sum,triad_sum,diadic_sum,network_strength_eigen_value,algebraic_connectivity,nx_algebraic_connectivity,defensive_damage2,defensive_damage3,defensive_damage4,defensive_damage5
0,1,Opponent1,win,1,0,home,Coach1,973.299999999994,500.09999999999684,473.19999999999715,460.9808826512673,365.4120521604816,7927056.3184349565,51.929267837837656,42.0,170.0,964.0,85.95168649775258,83.2264206272573,14.563636119769324,0.30546349109672155,0.30546349109669757,6.397601779738336,6.397601779738343
1,2,Opponent2,tie,1,1,away,Coach1,578.8000000000004,302.9,275.90000000000043,842.2525575728855,379.2327302780295,3.5045916727211674e-14,50.76250600128216,10.0,86.0,629.0,34.22657698249734,36.137576191540944,9.720736264675667,-9.853695900421739,-9.85369590042178,5.883623565597235,5.883623565596612
2,3,Opponent3,loss,0,2,away,Coach1,775.0999999999971,401.6999999999984,373.3999999999987,888.2172455597548,311.1794526844168,3.2489111590324517e-09,56.05467318785142,27.0,143.0,806.0,63.692243872520386,61.38863924908963,20.06694268622388,-13.627701384875053,-13.627701384875191,2.855446477451891,2.8554464774518733
3,4,Opponent4,loss,0,3,home,Coach1,857.7999999999959,446.8999999999977,410.89999999999816,686.3331523977848,415.33971786355073,5.853438034733251e-08,58.84838011459946,40.0,201.0,1061.0,68.62079896653825,69.94935392419455,27.522818867320176,-12.359471806158295,-12.359471806158254,3.9280547877650114,3.9280547877649417
4,5,Opponent5,loss,0,4,away,Coach1,916.0999999999949,469.39999999999736,446.6999999999976,487.56776178723237,273.3223999583791,0.0035265496593641647,49.45509328176436,60.0,233.0,1157.0,74.58579621639116,70.819127731671,23.772104584275795,-7.288675734950121,-7.288675734950369,1.9866266932955603,1.9866266932956287
5,6,Opponent6,win,2,1,home,Coach1,857.8999999999959,447.39999999999776,410.4999999999981,349.44817997968306,740.4154260951775,1.172261029758512e-05,60.17390544642867,39.0,164.0,937.0,66.89943949069166,63.14551722071925,16.26298555050775,-8.06731476662472,-8.067314766624223,5.8422121888742655,5.842212188874346
6,7,Opponent7,loss,0,1,home,Coach1,1126.7999999999918,585.8999999999957,540.8999999999961,212.03920940509641,1006.0263021622445,264912181831.31244,52.47184269433751,54.0,216.0,1059.0,75.42892197023403,83.67961731905103,22.47773768905467,-8.188828013164846,-8.18882801316486,1.970670930361741,1.970670930361819
7,8,Opponent8,tie,1,1,away,Coach1,907.7999999999952,469.4999999999974,438.2999999999978,525.6899640810934,502.95529898820985,0.0009195854419584347,55.38336960639229,25.0,146.0,822.0,61.692562541794075,66.36810053937603,16.414496565441407,-11.184511391688167,-11.18451139168818,8.553422571293087,8.553422571293105
8,9,Opponent9,loss,2,5,home,Coach1,539.2000000000008,288.9000000000002,250.3000000000006,1217.5535080412733,311.4145511933043,3.726720317408546e-18,49.66038200000003,9.0,100.0,623.0,32.33187753838446,35.30219665681796,7.679729719092421,-26.767970947229134,-26.767970947229195,1.9801050867672811,1.9801050867674286
9,10,Opponent10,loss,0,2,away,Coach2,940.3999999999945,485.2999999999971,455.0999999999974,262.27246707857273,539.86666941886,34.18589879670764,49.04284003729585,51.0,176.0,995.0,74.2250588922714,68.97677926654508,16.09117995405394,-7.997662130226644,-7.997662130226595,5.662675255439138,5.6626752554391455
10,11,Opponent11,win,3,2,home,Coach2,634.3999999999994,328.79999999999956,305.5999999999999,367.0866096494761,393.57774754278057,1.276000701911734e-12,55.668116384910405,5.0,91.0,533.0,34.57821083119549,37.674365802801816,11.574431765488447,-6.845932795604115,-6.845932795604153,3.912820495535442,3.9128204955353745
11,12,Opponent12,tie,2,2,away,Coach2,536.5000000000009,279.60000000000036,256.9000000000006,635.6976332582515,293.3024023032558,1.36642888687615e-17,50.64332284334013,6.0,67.0,523.0,26.038729165437772,30.860945834150854,8.09858483616864,-21.07596750836501,-21.075967508365057,5.92099731047265,5.920997310472712
12,13,Opponent13,loss,1,4,away,Coach2,623.6999999999996,322.49999999999966,301.2,640.8407342193286,246.51658611888615,2.0107113806112995e-20,48.90528169059059,26.0,152.0,890.0,45.8328349133368,48.730047369935704,13.042356651338764,-8.5524667174974,-8.552466717497266,4.8074268290468325,4.8074268290470625
13,14,Opponent14,win,4,0,home,Coach2,832.0999999999962,423.89999999999804,408.1999999999981,205.6362529106516,263.82686249017553,0.00020084261546902157,49.48474155680323,28.0,159.0,894.0,69.30828271005177,69.11236969168588,18.172949346764298,-2.4899189581093033,-2.4899189581090884,4.782523635942518,4.782523635942288
14,15,Opponent15,win,2,0,home,Coach3,774.1999999999972,395.2999999999986,378.8999999999986,177.1793224080218,272.1700052900684,9.030937309842304,51.65399434433509,22.0,158.0,838.0,49.934520099680114,50.54817318909862,16.39374271570991,-8.898737408559432,-8.898737408559365,2.645605781291405,2.645605781291462
15,16,Opponent16,tie,1,1,away,Coach3,373.4000000000009,199.60000000000048,173.80000000000038,1076.0486918438114,51.937720828729326,5.07587458931744e-31,42.8159477525247,0.0,22.0,213.0,16.905880692421107,21.938117314034777,4.59126566431436,-14.127557606582062,-14.12755760658223,5.687662551656592,5.687662551656805
16,17,Opponent17,win,1,0,away,Coach3,848.5999999999959,434.1999999999979,414.39999999999804,560.7703948467596,313.4812723946584,1.0097339654011753e-06,49.59341094777291,42.0,152.0,910.0,67.33348792800356,65.0565881639118,13.657463242105496,-10.92304156581603,-10.923041565816114,5.420769726834029,5.420769726833861
17,18,Opponent18,win,3,1,home,Coach3,816.3999999999966,418.6999999999981,397.69999999999845,321.30224276322156,405.71487609857024,0.0002982290842661613,51.90525986489935,39.0,177.0,1008.0,64.58430884643991,62.05627375065089,17.12828000644255,-6.3185051708776285,-6.318505170877294,3.9781117558920265,3.978111755892188
18,19,Opponent3,tie,0,0,home,Coach3,650.7999999999993,341.3999999999994,309.39999999999975,1061.691289435377,197.90762122319754,1.0966927274174096e-15,50.39818975942348,22.0,146.0,841.0,47.82269424841516,48.22877825022107,20.779977465073834,-23.76547191006957,-23.765471910069536,2.009417272698506,2.0094172726984754
19,20,Opponent19,tie,0,0,away,Coach3,729.7999999999979,377.0999999999988,352.699999999999,544.5020291481884,200.4592295720685,0.00030156815791395486,58.311233002451274,25.0,127.0,787.0,44.33039359324657,43.31503066535721,10.05477016637805,-4.2352298034357165,-4.235229803435687,4.984886151214012,4.984886151214004
20,21,Opponent6,loss,1,2,away,Coach3,898.2999999999952,465.9999999999974,432.2999999999978,808.3790622594336,340.13419907563326,907.1303113469231,57.59677970052334,40.0,179.0,973.0,71.08224457595622,64.51562067800137,3.128690691250303,-1.7015976651342362,-1.7015976651342348,4.697423185720752,4.697423185720702
21,22,Opponent5,loss,0,2,home,Coach3,750.9999999999977,395.9999999999985,354.9999999999991,879.0869170330254,497.066535194522,1.0663072373134903e-13,52.232822736610444,19.0,112.0,712.0,49.5499825772448,47.863659063837964,10.212269686272345,-11.879307760469548,-11.879307760469619,4.077559601326225,4.0775596013261275
22,23,Opponent4,loss,0,4,away,Coach3,709.6999999999982,370.1999999999989,339.4999999999993,845.0960579491069,209.17610062423557,3.408426851384023e-13,51.41896640459916,16.0,125.0,756.0,46.53028595243782,41.346419579254366,12.083985992323873,-7.954245756365511,-7.954245756365465,7.910627918885605,7.910627918885288
23,24,Opponent19,tie,1,1,home,Coach3,978.6999999999939,505.4999999999967,473.19999999999715,691.6692710168031,350.20832396218515,5024.607777479019,54.48577826813934,43.0,150.0,1030.0,63.59358529508313,63.84497913158781,16.146285591599053,-1.4852437040904136,-1.485243704090402,7.566090497678358,7.566090497678604
24,25,Opponent10,win,2,1,home,Coach3,719.399999999998,371.19999999999885,348.19999999999914,253.31730121967507,516.5809820509166,1.0208841699149736e-06,48.60253222498346,30.0,147.0,944.0,48.5748641832936,52.22586115516687,17.099532231553493,-3.8195876120692294,-3.8195876120691534,7.469565443902989,7.469565443903057
25,26,Opponent9,loss,1,5,away,Coach3,761.3999999999976,398.9999999999985,362.39999999999895,543.8725861590957,445.87233301505074,4.265459742522101e-09,60.31720399040964,35.0,167.0,919.0,57.684480159744695,57.245675770402606,15.644775382067387,-5.424308672842027,-5.424308672841844,6.739147439592032,6.739147439591901
26,27,Opponent12,win,3,1,home,Coach3,809.2999999999967,419.5999999999982,389.69999999999845,605.6918581808667,366.65974449262563,590.2392848598902,54.641940614257194,21.0,124.0,710.0,58.10444826996851,63.87923580846508,5.172048747581838,-3.355788522502122,-3.3557885225021034,3.982361768474986,3.9823617684749646
27,28,Opponent11,loss,0,1,away,Coach3,791.3999999999969,408.4999999999983,382.89999999999856,514.9179610668504,185.56617906310788,6.171962470188771e-07,52.32126642053095,25.0,133.0,858.0,46.060722938900014,47.46807963358425,13.218158533014416,-2.7935391398356204,-2.7935391398356315,8.972621414017095,8.972621414017135
28,29,Opponent7,loss,1,2,away,Coach3,756.6999999999974,397.4999999999984,359.19999999999897,971.0892306732243,428.45027560607355,0.0038265512294682323,47.860641719298165,24.0,137.0,786.0,42.888470949397714,44.16361202899506,7.045171455668683,-9.227469376649577,-9.22746937664957,9.209174520819719,9.209174520819705
29,30,Opponent8,win,2,0,home,Coach3,870.199999999996,451.9999999999978,418.1999999999981,406.21469692934295,535.8116135005396,581539.8992593532,53.668624883838355,31.0,157.0,957.0,61.51111006541371,66.34914991909262,13.797867082225217,-3.1393683356609112,-3.139368335660989,3.758825675586581,3.758825675586823
30,31,Opponent1,win,2,1,away,Coach3,904.7999999999952,471.3999999999975,433.3999999999977,467.87421345426344,629.5737722245765,411.35927190288015,54.03078993109087,44.0,176.0,966.0,68.58951673312707,68.19764781696745,10.321668518033139,-8.665178897385182,-8.665178897385267,2.825114743308732,2.825114743308962
31,32,Opponent2,loss,1,3,home,Coach3,376.6000000000009,202.4000000000005,174.20000000000041,744.6114645358997,200.3191442283959,4.624828254118783e-40,50.65376236231826,1.0,33.0,337.0,25.116623976129087,27.350454886894905,1.3592127561912952,-17.95722504507915,-17.957225045076513,2.0425636312297963,2.0425636312332713
32,33,Opponent16,tie,0,0,home,Coach3,710.6999999999982,366.099999999999,344.5999999999992,394.19912604211913,228.34485176220505,5.3670453036907025e-12,55.91475981481456,13.0,111.0,702.0,41.55819192275483,46.46636500084228,10.721713527794162,-14.610623407889886,-14.610623407890003,4.83571992799381,4.835719927993771
33,34,Opponent18,tie,1,1,away,Coach3,807.3999999999966,418.59999999999815,388.7999999999984,738.5531299564079,419.02007626689226,4.78916782083814e-07,56.24637827374498,27.0,164.0,892.0,65.27064345291348,66.50521862884213,16.13231308583894,-12.836658087604794,-12.836658087604773,6.29342491591463,6.293424915914605
34,35,Opponent17,win,1,0,home,Coach3,930.0999999999947,476.89999999999725,453.19999999999754,351.63496237783204,306.56893574362323,3016441.1414225344,51.19350817861626,51.0,161.0,982.0,73.66562335722045,73.13229607559938,16.927089290465638,-8.429824592336946,-8.429824592336908,5.452837692139316,5.452837692139432
35,36,Opponent15,win,2,0,away,Coach3,860.2999999999959,440.7999999999978,419.49999999999807,368.0076571933199,303.8778644863221,6.81775985207205e-05,47.77908987689369,35.0,155.0,949.0,60.2810545212581,55.506610869273956,20.10095474008436,-10.61151992705964,-10.611519927059579,3.9409551582649565,3.9409551582650195
36,37,Opponent13,tie,1,1,home,Coach3,883.8999999999954,454.0999999999976,429.7999999999979,292.44932146390613,261.4125813225156,753052.8812375797,55.229068353903536,32.0,165.0,934.0,59.99245381423707,63.11764990411254,12.590674230772468,0.21595817866959255,0.2159581786695819,8.236592409415113,8.236592409415046
37,38,Opponent14,loss,1,3,away,Coach3,304.79999999999995,160.69999999999985,144.10000000000008,335.42075334100946,293.7814549332918,1.9608852101529882e-18,28.72100250000002,11.0,49.0,359.0,24.001434733285613,23.3627623933175,5.878180369537036,-15.382628751663344,-15.382628751663391,1.013975330579274,1.0139753305792942
